well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX7,SMOD,RF,OOD,0.9987,0.9372,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,SMOD,MLP_BP,OOD,0.9985,-511.8566,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,SMOD,Linear_multi,OOD,0.9949,-25.1281,linear_multi,WellD
ZXX7,SHMAX,Linear_single,OOD,0.0492,-0.1668,-0.05987 * LLD + -575.7,WellD
ZXX7,SHMAX,SVR_rbf,OOD,0.9962,-36.4801,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,SHMAX,XGBoost,OOD,1.0,-12.343,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,SHMAX,Poly3,OOD,0.9983,-1368843122737721.5,Poly(deg=3),WellD
ZXX7,SHMAX,Poly2,OOD,0.979,-62798186364.8674,Poly(deg=2),WellD
ZXX7,SHMAX,RF,OOD,0.9911,-11.9024,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,SHMAX,MLP_BP,OOD,0.9984,-41360.0179,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,SHMAX,Linear_multi,OOD,0.89,-36785.0195,linear_multi,WellD
ZXX7,YMOD,Linear_single,OOD,0.9339,0.9072,-688.8 * DTS + 1.283e+05,WellD
ZXX7,YMOD,SVR_rbf,OOD,0.9983,-0.0211,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,YMOD,XGBoost,OOD,0.9996,0.9235,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,YMOD,Poly3,OOD,0.9997,-989130189726.5144,Poly(deg=3),WellD
ZXX7,YMOD,Poly2,OOD,0.9996,-666626.9368,Poly(deg=2),WellD
ZXX7,YMOD,RF,OOD,0.998,0.9383,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,YMOD,MLP_BP,OOD,0.9972,-285.0133,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,YMOD,Linear_multi,OOD,0.9952,-9.3838,linear_multi,WellD
ZXX7,POIS,Linear_single,OOD,0.9648,0.9083,0.3244 * RMSC + -0.3077,WellD
ZXX7,POIS,SVR_rbf,OOD,0.9964,-0.3326,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,POIS,XGBoost,OOD,0.9908,0.9127,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,POIS,Poly3,OOD,0.9962,-616175308109.3303,Poly(deg=3),WellD
ZXX7,POIS,Poly2,OOD,0.9951,-1669188.0309,Poly(deg=2),WellD
ZXX7,POIS,RF,OOD,0.9925,0.8955,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,POIS,MLP_BP,OOD,0.9051,-17248.9031,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,POIS,Linear_multi,OOD,0.9723,-18.6615,linear_multi,WellD
ZXX6,SMOD,Linear_single,OOD,0.8879,0.7748,-0.3773 * DTC + 43.57,WellC
ZXX6,SMOD,SVR_rbf,OOD,0.995,-1.2508,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,SMOD,XGBoost,OOD,0.9987,0.0452,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,SMOD,Poly3,OOD,0.999,-1701356202731.0242,Poly(deg=3),WellC
ZXX6,SMOD,Poly2,OOD,0.9982,-887866.8893,Poly(deg=2),WellC
ZXX6,SMOD,RF,OOD,0.9941,-0.0414,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,SMOD,MLP_BP,OOD,0.9955,-35313.7033,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,SMOD,Linear_multi,OOD,0.994,-41.8947,linear_multi,WellC
ZXX6,SHMAX,Linear_single,OOD,0.0218,0.0714,-0.01658 * LLD + 88.68,WellC
ZXX6,SHMAX,SVR_rbf,OOD,0.9937,-0.027,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,SHMAX,XGBoost,OOD,0.9946,-0.029,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,SHMAX,Poly3,OOD,0.9783,-87429818389.8513,Poly(deg=3),WellC
ZXX6,SHMAX,Poly2,OOD,0.9546,-2787.0096,Poly(deg=2),WellC
ZXX6,SHMAX,RF,OOD,0.9869,-0.0287,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,SHMAX,MLP_BP,OOD,0.9664,-81.8721,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,SHMAX,Linear_multi,OOD,0.9245,-0.0067,linear_multi,WellC
ZXX6,YMOD,Linear_single,OOD,0.9515,0.7806,-978.1 * DTC + 1.089e+05,WellC
ZXX6,YMOD,SVR_rbf,OOD,0.9956,-1.0392,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,YMOD,XGBoost,OOD,0.999,0.0668,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,YMOD,Poly3,OOD,0.9991,-1492383817235.672,Poly(deg=3),WellC
ZXX6,YMOD,Poly2,OOD,0.9984,-576837.9963,Poly(deg=2),WellC
ZXX6,YMOD,RF,OOD,0.9943,-0.0978,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,YMOD,MLP_BP,OOD,0.9964,-8591.6648,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,YMOD,Linear_multi,OOD,0.9944,-23.6177,linear_multi,WellC
ZXX6,POIS,Linear_single,OOD,0.996,0.8803,0.4803 * RMSC + -0.5716,WellC
ZXX6,POIS,SVR_rbf,OOD,0.9971,-0.1311,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,POIS,XGBoost,OOD,0.9892,0.57,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,POIS,Poly3,OOD,0.9995,-75120404727.7694,Poly(deg=3),WellC
ZXX6,POIS,Poly2,OOD,0.9995,-486809.6662,Poly(deg=2),WellC
ZXX6,POIS,RF,OOD,0.998,0.6894,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,POIS,MLP_BP,OOD,0.9209,-181407.514,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,POIS,Linear_multi,OOD,0.9972,0.0016,linear_multi,WellC
ZXX3,SMOD,Linear_single,Random,0.9437,0.943,-0.2958 * DTS + 53.28,WellB
ZXX3,SMOD,SVR_rbf,Random,0.9977,0.9969,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,SMOD,XGBoost,Random,0.9995,0.9984,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,SMOD,Poly3,Random,0.9995,0.9994,Poly(deg=3),WellB
ZXX3,SMOD,Poly2,Random,0.9992,0.999,Poly(deg=2),WellB
ZXX3,SMOD,RF,Random,0.9993,0.9984,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,SMOD,MLP_BP,Random,0.9988,0.9973,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,SMOD,Linear_multi,Random,0.9865,0.9867,linear_multi,WellB
ZXX3,SHMAX,Linear_single,Random,0.4788,0.5156,49.1 * RMSC + 36.59,WellB
ZXX3,SHMAX,SVR_rbf,Random,0.817,0.851,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 'scale'}, y-scaled)",WellB
ZXX3,SHMAX,XGBoost,Random,0.9427,0.9301,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,SHMAX,Poly3,Random,0.7738,0.7939,Poly(deg=3),WellB
ZXX3,SHMAX,Poly2,Random,0.7272,0.7605,Poly(deg=2),WellB
ZXX3,SHMAX,RF,Random,0.9492,0.9264,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,SHMAX,MLP_BP,Random,0.8873,0.8917,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,SHMAX,Linear_multi,Random,0.6538,0.6909,linear_multi,WellB
ZXX3,YMOD,Linear_single,Random,0.9192,0.9293,-1276 * DTC + 1.293e+05,WellB
ZXX3,YMOD,SVR_rbf,Random,0.9977,0.9972,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,YMOD,XGBoost,Random,0.9994,0.9984,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,YMOD,Poly3,Random,0.9995,0.9994,Poly(deg=3),WellB
ZXX3,YMOD,Poly2,Random,0.9993,0.9991,Poly(deg=2),WellB
ZXX3,YMOD,RF,Random,0.9993,0.9982,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,YMOD,MLP_BP,Random,0.9971,0.9949,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,YMOD,Linear_multi,Random,0.9866,0.9871,linear_multi,WellB
ZXX3,POIS,Linear_single,Random,0.976,0.9786,0.3686 * RMSC + -0.3989,WellB
ZXX3,POIS,SVR_rbf,Random,0.9974,0.9959,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,POIS,XGBoost,Random,0.9985,0.9993,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,POIS,Poly3,Random,0.9999,0.9998,Poly(deg=3),WellB
ZXX3,POIS,Poly2,Random,0.9998,0.9998,Poly(deg=2),WellB
ZXX3,POIS,RF,Random,0.9999,0.9998,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,POIS,MLP_BP,Random,0.9859,0.9725,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,POIS,Linear_multi,Random,0.9913,0.9928,linear_multi,WellB
ZXX2,SMOD,Linear_single,Random,0.8982,0.9115,-0.2274 * DTS + 45.56,WellA
ZXX2,SMOD,SVR_rbf,Random,0.9927,0.9926,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,SMOD,XGBoost,Random,0.9972,0.9956,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,SMOD,Poly3,Random,0.9917,0.9923,Poly(deg=3),WellA
ZXX2,SMOD,Poly2,Random,0.9897,0.9921,Poly(deg=2),WellA
ZXX2,SMOD,RF,Random,0.9968,0.9933,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,SMOD,MLP_BP,Random,0.9936,0.9941,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,SMOD,Linear_multi,Random,0.9641,0.9682,linear_multi,WellA
ZXX2,SHMAX,Linear_single,Random,0.879,0.8899,-0.6077 * DTS + 203.5,WellA
ZXX2,SHMAX,SVR_rbf,Random,0.9772,0.9814,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 'scale'}, y-scaled)",WellA
ZXX2,SHMAX,XGBoost,Random,0.9937,0.9897,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,SHMAX,Poly3,Random,0.9827,0.9801,Poly(deg=3),WellA
ZXX2,SHMAX,Poly2,Random,0.9778,0.9825,Poly(deg=2),WellA
ZXX2,SHMAX,RF,Random,0.9866,0.9728,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,SHMAX,MLP_BP,Random,0.9886,0.9887,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,SHMAX,Linear_multi,Random,0.9461,0.9439,linear_multi,WellA
ZXX2,YMOD,Linear_single,Random,0.872,0.8987,-903.1 * DTC + 1.071e+05,WellA
ZXX2,YMOD,SVR_rbf,Random,0.9876,0.9897,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,YMOD,XGBoost,Random,0.9964,0.9953,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,YMOD,Poly3,Random,0.9909,0.9862,Poly(deg=3),WellA
ZXX2,YMOD,Poly2,Random,0.9872,0.99,Poly(deg=2),WellA
ZXX2,YMOD,RF,Random,0.9952,0.9924,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,YMOD,MLP_BP,Random,0.9845,0.9875,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,YMOD,Linear_multi,Random,0.958,0.9625,linear_multi,WellA
ZXX2,POIS,Linear_single,Random,0.9623,0.9653,0.3489 * RMSC + -0.3554,WellA
ZXX2,POIS,SVR_rbf,Random,0.9944,0.9944,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,POIS,XGBoost,Random,0.9983,0.9983,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,POIS,Poly3,Random,0.9999,0.9998,Poly(deg=3),WellA
ZXX2,POIS,Poly2,Random,0.9993,0.9995,Poly(deg=2),WellA
ZXX2,POIS,RF,Random,0.998,0.9979,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,POIS,MLP_BP,Random,0.9958,0.9826,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,POIS,Linear_multi,Random,0.9734,0.9787,linear_multi,WellA
ZXX7,SMOD,Linear_single,Random,0.9409,0.9428,-0.2719 * DTS + 50.48,WellD
ZXX7,SMOD,SVR_rbf,Random,0.9967,0.9956,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,SMOD,XGBoost,Random,0.9996,0.9986,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,SMOD,Poly3,Random,0.9997,0.9994,Poly(deg=3),WellD
ZXX7,SMOD,Poly2,Random,0.9996,0.9994,Poly(deg=2),WellD
ZXX7,SMOD,RF,Random,0.9989,0.9977,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,SMOD,MLP_BP,Random,0.9989,0.9969,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,SMOD,Linear_multi,Random,0.9862,0.9869,linear_multi,WellD
ZXX7,SHMAX,Linear_single,Random,0.4944,0.5167,0.9654 * LLS + -227.7,WellD
ZXX7,SHMAX,SVR_rbf,Random,0.942,0.9574,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,SHMAX,XGBoost,Random,0.9996,0.9707,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,SHMAX,Poly3,Random,0.962,0.8918,Poly(deg=3),WellD
ZXX7,SHMAX,Poly2,Random,0.8919,0.8396,Poly(deg=2),WellD
ZXX7,SHMAX,RF,Random,0.9848,0.9598,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,SHMAX,MLP_BP,Random,0.9935,0.9556,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,SHMAX,Linear_multi,Random,0.7279,0.7262,linear_multi,WellD
ZXX7,YMOD,Linear_single,Random,0.9232,0.9189,-702.7 * DTS + 1.302e+05,WellD
ZXX7,YMOD,SVR_rbf,Random,0.9968,0.9959,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,YMOD,XGBoost,Random,0.9996,0.9977,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,YMOD,Poly3,Random,0.9997,0.9994,Poly(deg=3),WellD
ZXX7,YMOD,Poly2,Random,0.9996,0.9994,Poly(deg=2),WellD
ZXX7,YMOD,RF,Random,0.9984,0.9971,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,YMOD,MLP_BP,Random,0.9976,0.996,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,YMOD,Linear_multi,Random,0.9863,0.9876,linear_multi,WellD
ZXX7,POIS,Linear_single,Random,0.964,0.9665,0.3663 * RMSC + -0.3865,WellD
ZXX7,POIS,SVR_rbf,Random,0.9979,0.9964,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,POIS,XGBoost,Random,0.9973,0.997,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,POIS,Poly3,Random,0.999,0.9986,Poly(deg=3),WellD
ZXX7,POIS,Poly2,Random,0.9986,0.9984,Poly(deg=2),WellD
ZXX7,POIS,RF,Random,0.9986,0.9981,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,POIS,MLP_BP,Random,0.9899,0.9565,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,POIS,Linear_multi,Random,0.9837,0.9834,linear_multi,WellD
ZXX6,SMOD,Linear_single,Random,0.9627,0.963,-0.4876 * DTC + 51.51,WellC
ZXX6,SMOD,SVR_rbf,Random,0.9972,0.9943,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,SMOD,XGBoost,Random,0.9997,0.999,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,SMOD,Poly3,Random,0.9997,0.9993,Poly(deg=3),WellC
ZXX6,SMOD,Poly2,Random,0.9995,0.9994,Poly(deg=2),WellC
ZXX6,SMOD,RF,Random,0.9988,0.9976,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,SMOD,MLP_BP,Random,0.9985,0.9973,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,SMOD,Linear_multi,Random,0.9945,0.993,linear_multi,WellC
ZXX6,SHMAX,Linear_single,Random,0.0109,-77.4955,-487.4 * DEN + 1354,WellC
ZXX6,SHMAX,SVR_rbf,Random,0.0721,-9.7193,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,SHMAX,XGBoost,Random,1.0,-571.9001,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,SHMAX,Poly3,Random,0.9904,-596.6529,Poly(deg=3),WellC
ZXX6,SHMAX,Poly2,Random,0.9248,-1288.7398,Poly(deg=2),WellC
ZXX6,SHMAX,RF,Random,0.8415,-910.8645,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,SHMAX,MLP_BP,Random,0.0708,-59.9252,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,SHMAX,Linear_multi,Random,0.2905,-1275.0282,linear_multi,WellC
ZXX6,YMOD,Linear_single,Random,0.9731,0.9761,-1326 * DTC + 1.337e+05,WellC
ZXX6,YMOD,SVR_rbf,Random,0.997,0.9936,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,YMOD,XGBoost,Random,0.9998,0.9988,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,YMOD,Poly3,Random,0.9998,0.9992,Poly(deg=3),WellC
ZXX6,YMOD,Poly2,Random,0.9995,0.9989,Poly(deg=2),WellC
ZXX6,YMOD,RF,Random,0.9985,0.9975,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,YMOD,MLP_BP,Random,0.9951,0.9951,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,YMOD,Linear_multi,Random,0.9938,0.9935,linear_multi,WellC
ZXX6,POIS,Linear_single,Random,0.9705,0.9761,0.393 * RMSC + -0.4244,WellC
ZXX6,POIS,SVR_rbf,Random,0.9973,0.9929,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,POIS,XGBoost,Random,0.9974,0.9952,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,POIS,Poly3,Random,0.9998,0.9992,Poly(deg=3),WellC
ZXX6,POIS,Poly2,Random,0.9997,0.9993,Poly(deg=2),WellC
ZXX6,POIS,RF,Random,0.9994,0.9981,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,POIS,MLP_BP,Random,0.9507,0.8898,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,POIS,Linear_multi,Random,0.9963,0.9963,linear_multi,WellC
